[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1576533116.959891
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\myapp\forms.py first seen with mtime 1576721562.254758
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\urllib\request.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\json\decoder.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1576532982.466248
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\asgiref\__init__.py first seen with mtime 1576533118.758155
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\template\library.py first seen with mtime 1576533117.3796353
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\cgi.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\concurrent\__init__.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\encodings\aliases.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\logging\__init__.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\wsgiref\simple_server.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1576533116.9738824
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\selectors.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\secrets.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\json\scanner.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1576532979.6186912
